Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos
4,28,2,9,30,0.7071067811865476,-0.7071067811865475,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,9,45,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,10,15,0.49999999999999994,-0.8660254037844387,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,10,30,0.49999999999999994,-0.8660254037844387,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,10,45,0.49999999999999994,-0.8660254037844387,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,11,15,0.258819045102521,-0.9659258262890682,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,11,30,0.258819045102521,-0.9659258262890682,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,11,45,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,12,0,1.2246467991473532e-16,-1.0,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,12,15,1.2246467991473532e-16,-1.0,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,12,45,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,13,15,-0.2588190451025208,-0.9659258262890683,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,13,30,-0.2588190451025208,-0.9659258262890683,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,13,45,-0.2588190451025208,-0.9659258262890683,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,14,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,14,15,-0.4999999999999997,-0.8660254037844388,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,14,30,-0.4999999999999997,-0.8660254037844388,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,14,45,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,15,15,-0.7071067811865471,-0.7071067811865479,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,15,30,-0.7071067811865471,-0.7071067811865479,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,15,45,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,16,15,-0.8660254037844384,-0.5000000000000004,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,16,30,-0.8660254037844384,-0.5000000000000004,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
4,28,2,16,45,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
4,28,2,17,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.9749279121818236,-0.22252093395631434
4,28,2,17,15,-0.9659258262890683,-0.25881904510252063,1.0,2.83276944882399e-16,0.9749279121818236,-0.22252093395631434
4,28,2,17,30,-0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0,0.9749279121818236,-0.22252093395631434
