Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,DAM_Price,DAM_Vol_Sale,DAM_Vol_Buy,Load,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Grid,outage_remaining_h,hours_till_outage,next_outage_duration
5,11,7,12,0,1.2246467991473532e-16,-1.0,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3532.1,3532.1,136.82,142.98387,6.2,176.0,1,0.0,24.0,0.0
5,11,7,12,15,1.2246467991473532e-16,-1.0,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3532.1,3532.1,136.82,142.98387,6.2,176.0,1,0.0,24.0,0.0
5,11,7,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3532.1,3532.1,136.82,142.98387,6.2,176.0,1,0.0,24.0,0.0
5,11,7,12,45,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3532.1,3532.1,136.82,142.98387,6.2,176.0,1,0.0,24.0,0.0
5,11,7,13,0,-0.2588190451025208,-0.9659258262890684,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3398.4,3398.4,158.08,180.76198,6.55,257.0,1,0.0,24.0,0.0
5,11,7,13,15,-0.2588190451025208,-0.9659258262890684,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3398.4,3398.4,158.08,180.76198,6.55,257.0,1,0.0,24.0,0.0
5,11,7,13,30,-0.2588190451025208,-0.9659258262890684,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3398.4,3398.4,158.08,180.76198,6.55,257.0,1,0.0,24.0,0.0
5,11,7,13,45,-0.2588190451025208,-0.9659258262890684,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3398.4,3398.4,158.08,180.76198,6.55,257.0,1,0.0,24.0,0.0
5,11,7,14,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3360.6,3360.6,157.94,238.1789,6.9,264.0,1,0.0,24.0,0.0
5,11,7,14,15,-0.4999999999999997,-0.8660254037844388,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3360.6,3360.6,157.94,238.1789,6.9,264.0,1,0.0,24.0,0.0
5,11,7,14,30,-0.4999999999999997,-0.8660254037844388,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3360.6,3360.6,157.94,238.1789,6.9,264.0,1,0.0,24.0,0.0
5,11,7,14,45,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3360.6,3360.6,157.94,238.1789,6.9,264.0,1,0.0,24.0,0.0
5,11,7,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3343.9,3343.9,138.25,353.60773,7.8,310.0,1,0.0,24.0,0.0
5,11,7,15,15,-0.7071067811865471,-0.7071067811865479,1.0,2.83276944882399e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3343.9,3343.9,138.25,353.60773,7.8,310.0,1,0.0,24.0,0.0
5,11,7,15,30,-0.7071067811865471,-0.7071067811865479,5.66553889764798e-16,-1.0,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3343.9,3343.9,138.25,353.60773,7.8,310.0,1,0.0,24.0,0.0
5,11,7,15,45,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210287e-16,-2.4492935982947064e-16,1.0,0.7907757369376989,-0.6121059825476626,3950.0,3343.9,3343.9,138.25,353.60773,7.8,310.0,1,0.0,24.0,0.0
