Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,DAM_Price,Load,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Grid,outage_remaining_h,hours_till_outage,next_outage_duration
8,11,1,22,30,-0.5000000000000004,0.8660254037844384,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,11926.0,51.89,0.0,19.45,0.0,1,0.0,24.0,0.0
8,11,1,22,45,-0.5000000000000004,0.8660254037844384,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,11926.0,51.89,0.0,19.45,0.0,1,0.0,24.0,0.0
8,11,1,23,0,-0.2588190451025215,0.965925826289068,0.0,1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,9000.0,53.15,0.0,18.55,0.0,1,0.0,24.0,0.0
8,11,1,23,15,-0.2588190451025215,0.965925826289068,1.0,2.83276944882399e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,9000.0,53.15,0.0,18.55,0.0,1,0.0,24.0,0.0
8,11,1,23,30,-0.2588190451025215,0.965925826289068,5.66553889764798e-16,-1.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,9000.0,53.15,0.0,18.55,0.0,1,0.0,24.0,0.0
8,11,1,23,45,-0.2588190451025215,0.965925826289068,-1.0,-1.8369701987210287e-16,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,9000.0,53.15,0.0,18.55,0.0,1,0.0,24.0,0.0
8,12,2,0,0,0.0,1.0,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6400.0,53.39,0.0,17.45,0.0,1,0.0,24.0,0.0
8,12,2,0,15,0.0,1.0,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6400.0,53.39,0.0,17.45,0.0,1,0.0,24.0,0.0
8,12,2,0,30,0.0,1.0,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6400.0,53.39,0.0,17.45,0.0,1,0.0,24.0,0.0
8,12,2,0,45,0.0,1.0,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6400.0,53.39,0.0,17.45,0.0,1,0.0,24.0,0.0
8,12,2,1,0,0.2588190451025207,0.9659258262890684,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,64.67,0.0,16.4,0.0,1,0.0,24.0,0.0
8,12,2,1,15,0.2588190451025207,0.9659258262890684,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,64.67,0.0,16.4,0.0,1,0.0,24.0,0.0
8,12,2,1,30,0.2588190451025207,0.9659258262890684,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,64.67,0.0,16.4,0.0,1,0.0,24.0,0.0
8,12,2,1,45,0.2588190451025207,0.9659258262890684,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,64.67,0.0,16.4,0.0,1,0.0,24.0,0.0
8,12,2,2,0,0.4999999999999999,0.8660254037844387,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5590.61,63.16,0.0,15.55,0.0,1,0.0,24.0,0.0
8,12,2,2,15,0.4999999999999999,0.8660254037844387,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5590.61,63.16,0.0,15.55,0.0,1,0.0,24.0,0.0
8,12,2,2,30,0.4999999999999999,0.8660254037844387,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5590.61,63.16,0.0,15.55,0.0,1,0.0,24.0,0.0
8,12,2,2,45,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5590.61,63.16,0.0,15.55,0.0,1,0.0,24.0,0.0
8,12,2,3,0,0.7071067811865475,0.7071067811865476,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,56.4,0.0,14.35,0.0,1,0.0,24.0,0.0
8,12,2,3,15,0.7071067811865475,0.7071067811865476,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,56.4,0.0,14.35,0.0,1,0.0,24.0,0.0
8,12,2,3,30,0.7071067811865475,0.7071067811865476,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,56.4,0.0,14.35,0.0,1,0.0,24.0,0.0
8,12,2,3,45,0.7071067811865475,0.7071067811865476,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,56.4,0.0,14.35,0.0,1,0.0,24.0,0.0
8,12,2,4,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5380.0,57.53,0.0,13.6,0.0,1,0.0,24.0,0.0
8,12,2,4,15,0.8660254037844386,0.5000000000000001,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5380.0,57.53,0.0,13.6,0.0,1,0.0,24.0,0.0
8,12,2,4,30,0.8660254037844386,0.5000000000000001,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5380.0,57.53,0.0,13.6,0.0,1,0.0,24.0,0.0
8,12,2,4,45,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5380.0,57.53,0.0,13.6,0.0,1,0.0,24.0,0.0
8,12,2,5,0,0.9659258262890684,0.2588190451025207,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,57.04,0.0,12.8,0.0,1,0.0,24.0,0.0
8,12,2,5,15,0.9659258262890684,0.2588190451025207,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,57.04,0.0,12.8,0.0,1,0.0,24.0,0.0
8,12,2,5,30,0.9659258262890684,0.2588190451025207,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,57.04,0.0,12.8,0.0,1,0.0,24.0,0.0
8,12,2,5,45,0.9659258262890684,0.2588190451025207,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5550.0,57.04,0.0,12.8,0.0,1,0.0,24.0,0.0
8,12,2,6,0,1.0,6.123233995736766e-17,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5300.0,64.66,0.0,12.4,0.0,1,0.0,24.0,0.0
8,12,2,6,15,1.0,6.123233995736766e-17,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5300.0,64.66,0.0,12.4,0.0,1,0.0,24.0,0.0
8,12,2,6,30,1.0,6.123233995736766e-17,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5300.0,64.66,0.0,12.4,0.0,1,0.0,24.0,0.0
8,12,2,6,45,1.0,6.123233995736766e-17,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5300.0,64.66,0.0,12.4,0.0,1,0.0,24.0,0.0
8,12,2,7,0,0.9659258262890684,-0.2588190451025206,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5592.37,65.14,0.0,11.9,28.0,1,0.0,24.0,0.0
8,12,2,7,15,0.9659258262890684,-0.2588190451025206,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5592.37,65.14,0.0,11.9,28.0,1,0.0,24.0,0.0
8,12,2,7,30,0.9659258262890684,-0.2588190451025206,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5592.37,65.14,0.0,11.9,28.0,1,0.0,24.0,0.0
8,12,2,7,45,0.9659258262890684,-0.2588190451025206,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5592.37,65.14,0.0,11.9,28.0,1,0.0,24.0,0.0
8,12,2,8,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6850.0,305.62,35.375557,12.55,143.0,1,0.0,24.0,0.0
8,12,2,8,15,0.8660254037844387,-0.4999999999999998,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6850.0,305.62,35.375557,12.55,143.0,1,0.0,24.0,0.0
8,12,2,8,30,0.8660254037844387,-0.4999999999999998,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6850.0,305.62,35.375557,12.55,143.0,1,0.0,24.0,0.0
8,12,2,8,45,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,6850.0,305.62,35.375557,12.55,143.0,1,0.0,24.0,0.0
8,12,2,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5490.0,358.75,132.09918,14.8,301.0,1,0.0,24.0,0.0
8,12,2,9,15,0.7071067811865476,-0.7071067811865475,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5490.0,358.75,132.09918,14.8,301.0,1,0.0,24.0,0.0
8,12,2,9,30,0.7071067811865476,-0.7071067811865475,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5490.0,358.75,132.09918,14.8,301.0,1,0.0,24.0,0.0
8,12,2,9,45,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,5490.0,358.75,132.09918,14.8,301.0,1,0.0,24.0,0.0
8,12,2,10,0,0.4999999999999999,-0.8660254037844387,0.0,1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,3779.0,476.5,344.18155,17.85,463.0,1,0.0,24.0,0.0
8,12,2,10,15,0.4999999999999999,-0.8660254037844387,1.0,2.83276944882399e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,3779.0,476.5,344.18155,17.85,463.0,1,0.0,24.0,0.0
8,12,2,10,30,0.4999999999999999,-0.8660254037844387,5.66553889764798e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,3779.0,476.5,344.18155,17.85,463.0,1,0.0,24.0,0.0
8,12,2,10,45,0.4999999999999999,-0.8660254037844387,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,0.6513724827222223,-0.7587581226927909,3779.0,476.5,344.18155,17.85,463.0,1,0.0,24.0,0.0
