step,action_battery,action_grid,soc,target_soc,solar_gen_kwh,solar_surplus_kwh,battery_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward,reward_market,reward_lcos,reward_unmet,reward_mismatch,reward_soc_soft,reward_reserve,reward_preparation
46,0.6302,0.4015,1.0,0.2,48.9032,48.8604,0.0,-25.0967,0.0,0.0,0.0,50.1933,50.0733,50.1933,-0.0,0.0,-0.0,-0.12,0.0,0.0
47,0.6481,0.3985,1.0,0.2,48.9032,48.8584,0.0,-24.9037,0.0,0.0,0.0,49.8075,49.6875,49.8075,-0.0,0.0,-0.0,-0.12,0.0,0.0
48,0.9447,0.1383,1.0,0.2,56.1435,56.1062,0.0,-8.6434,0.0,0.0,0.0,0.994,0.874,0.994,-0.0,0.0,-0.0,-0.12,0.0,0.0
49,0.9476,0.1285,1.0,0.2,56.1435,56.103,0.0,-8.034,0.0,0.0,0.0,0.9239,0.8039,0.9239,-0.0,0.0,-0.0,-0.12,0.0,0.0
50,0.9494,0.1219,1.0,0.2,56.1435,56.1004,0.0,-7.6169,0.0,0.0,0.0,0.8759,0.7559,0.8759,-0.0,0.0,-0.0,-0.12,0.0,0.0
51,0.9498,0.1211,1.0,0.2,56.1435,56.1003,0.0,-7.5697,0.0,0.0,0.0,0.8705,0.9736,0.8705,-0.0,0.0,-0.0,-0.12,0.0,0.2231
52,0.935,0.1258,1.0,0.2,59.4893,59.449,0.0,-7.8621,0.0,0.0,0.0,0.9041,1.037,0.9041,-0.0,0.0,-0.0,-0.12,0.0,0.2528
53,0.9334,0.1303,1.0,0.2,59.4893,59.4519,0.0,-8.144,0.0,0.0,0.0,0.9366,1.1031,0.9366,-0.0,0.0,-0.0,-0.12,0.0,0.2865
54,0.9376,0.1207,1.0,0.2,59.4893,59.4468,0.0,-7.5408,0.0,0.0,0.0,0.8672,1.0718,0.8672,-0.0,0.0,-0.0,-0.12,0.0,0.3247
55,0.9404,0.1128,1.0,0.2,59.4893,59.4432,0.0,-7.0486,0.0,0.0,0.0,0.8106,1.0585,0.8106,-0.0,0.0,-0.0,-0.12,0.0,0.3679
56,0.9444,-0.1415,1.0,0.2,59.2719,59.2275,0.0,0.0,0.0,0.0,8.8455,0.0,-17.394,0.0,-0.0,0.0,-17.6909,-0.12,0.0,0.4169
57,0.9434,-0.1362,1.0,0.2,59.2719,59.2321,0.0,0.0,0.0,0.0,8.5116,0.0,-16.6708,0.0,-0.0,0.0,-17.0231,-0.12,0.0,0.4724
58,0.9442,-0.1398,1.0,0.2,59.2719,59.2311,0.0,0.0,0.0,0.0,8.7346,0.0,-17.0538,0.0,-0.0,0.0,-17.4691,-0.12,0.0,0.5353
59,0.9468,-0.1477,1.0,0.2,59.2719,59.2246,0.0,0.0,0.0,0.0,9.2343,0.0,-17.982,0.0,-0.0,0.0,-18.4686,-0.12,0.0,0.6065
60,0.9073,0.0274,1.0,0.2,54.2913,54.247,0.0,-1.7109,0.0,0.0,0.0,0.1968,0.764,0.1968,-0.0,0.0,-0.0,-0.12,0.0,0.6873
61,0.9006,0.0414,1.0,0.2,54.2913,54.2509,0.0,-2.5862,0.0,0.0,0.0,0.2974,0.9562,0.2974,-0.0,0.0,-0.0,-0.12,0.0,0.7788
62,0.9114,0.0226,1.0,0.2,54.2913,54.2456,0.0,-1.4146,0.0,0.0,0.0,0.1627,0.9252,0.1627,-0.0,0.0,-0.0,-0.12,0.0,0.8825
63,0.8694,0.0269,1.0,0.2,54.2913,54.2447,0.0,0.0,0.0,0.0,1.6843,0.0,-3.4886,0.0,-0.0,0.0,-3.3686,-0.12,0.0,0.0
64,0.4481,0.3993,1.0,0.2,46.4256,46.3802,0.0,-24.954,0.0,0.0,0.0,73.6144,73.4944,73.6144,-0.0,0.0,-0.0,-0.12,0.0,0.0
65,0.4307,0.4002,1.0,0.2,46.4256,46.3825,0.0,-25.0118,0.0,0.0,0.0,73.7849,73.6649,73.7849,-0.0,0.0,-0.0,-0.12,0.0,0.0
66,0.3945,0.4024,1.0,0.2,46.4256,46.3869,0.0,-25.1527,0.0,0.0,0.0,74.2004,74.0804,74.2004,-0.0,0.0,-0.0,-0.12,0.0,0.0
67,0.4528,0.3995,1.0,0.2,46.4256,46.3793,0.0,-24.9697,0.0,0.0,0.0,73.6605,73.5405,73.6605,-0.0,0.0,-0.0,-0.12,0.0,0.0
68,0.3793,0.3719,1.0,0.2,34.5314,34.4881,0.0,-23.2458,0.0,0.0,0.0,102.1653,102.0453,102.1653,-0.0,0.0,-0.0,-0.12,0.0,0.0
69,0.3959,0.3731,1.0,0.2,34.5314,34.4836,0.0,-23.3174,0.0,0.0,0.0,102.4802,102.3602,102.4802,-0.0,0.0,-0.0,-0.12,0.0,0.0
70,0.3783,0.3719,1.0,0.2,34.5314,34.4884,0.0,-23.243,0.0,0.0,0.0,102.1531,102.0331,102.1531,-0.0,0.0,-0.0,-0.12,0.0,0.0
71,0.3821,0.3721,1.0,0.2,34.5314,34.4874,0.0,-23.2551,0.0,0.0,0.0,102.2063,102.0863,102.2063,-0.0,0.0,-0.0,-0.12,0.0,0.0
72,0.5158,0.3329,1.0,0.2,21.4492,21.4076,0.0,-20.8059,0.0,0.0,0.0,134.6348,134.5148,134.6348,-0.0,0.0,-0.0,-0.12,0.0,0.0
73,0.4989,0.3302,1.0,0.2,21.4492,21.4126,0.0,-20.6383,0.0,0.0,0.0,133.5505,133.4305,133.5505,-0.0,0.0,-0.0,-0.12,0.0,0.0
74,0.5222,0.3341,1.0,0.2,21.4492,21.4056,0.0,-20.8839,0.0,0.0,0.0,135.14,135.02,135.14,-0.0,0.0,-0.0,-0.12,0.0,0.0
75,0.5284,0.3361,1.0,0.2,21.4492,21.4032,0.0,-21.008,0.0,0.0,0.0,135.9425,135.8225,135.9425,-0.0,0.0,-0.0,-0.12,0.0,0.0
