step,action_battery,action_grid,soc,target_soc,battery_kwh,solar_gen_kwh,solar_surplus_kwh,grid_kwh,unmet_load_kwh,lcos_cost,mismatch,money_earned_ts,reward
67,0.0569,0.5748,0.0869,0.2,0.6757,12.1366,11.3949,-11.3949,0.0,1.0136,2.9741,0,-6.9247
68,-0.171,0.8316,0.0655,0.2,-2.1373,9.3442,9.3131,-9.3131,0.0,3.206,11.477,18,-8.5737
69,-0.1884,0.8407,0.042,0.2,-2.3549,9.3442,9.3074,-9.3074,0.0,3.5323,11.7097,18,-9.4175
70,-0.184,0.8413,0.019,0.2,-2.3003,9.3442,9.3104,-9.3104,0.0,3.4504,11.721,18,-9.3994
71,-0.3906,0.8549,0.0,0.2,-1.8954,9.3442,9.261,-9.261,0.0,2.8431,12.1115,18,-9.7103
72,-0.2879,0.7976,0.0,0.2,-0.0,6.0373,6.0011,-6.0011,0.0,0.0,13.9389,27,-0.9929
73,-0.3017,0.7988,0.0,0.2,-0.0,6.0373,5.9981,-5.9981,0.0,0.0,13.9719,27,-1.0725
74,-0.2684,0.7951,0.0,0.2,-0.0,6.0373,6.0055,-6.0055,0.0,0.0,13.8717,27,-0.8388
75,-0.2779,0.7965,0.0,0.2,-0.0,6.0373,6.0033,-6.0033,0.0,0.0,13.9084,27,-0.9217
76,-0.1913,0.6861,0.0,0.2,-0.0,3.0328,3.0276,-3.0276,0.0,0.0,14.125,24,-4.272
77,-0.1902,0.6882,0.0,0.2,-0.0,3.0328,3.027,-3.027,0.0,0.0,14.1776,24,-4.3825
78,-0.1887,0.691,0.0,0.2,-0.0,3.0328,3.0261,-3.0261,0.0,0.0,14.2495,24,-4.5332
79,-0.1895,0.6895,0.0,0.2,-0.0,3.0328,3.0266,-3.0266,0.0,0.0,14.2114,24,-4.4532
80,-0.2679,0.4233,0.0,0.2,-0.0,0.648,0.6422,-0.6422,0.0,0.0,9.9412,6,-14.086
81,-0.2678,0.4235,0.0,0.2,-0.0,0.648,0.6421,-0.6421,0.0,0.0,9.9446,6,-14.0933
82,-0.2665,0.4245,0.0,0.2,-0.0,0.648,0.6417,-0.6417,0.0,0.0,9.9712,6,-14.1503
83,-0.2701,0.4213,0.0,0.2,-0.0,0.648,0.6429,-0.6429,0.0,0.0,9.8892,6,-13.9749
84,-0.24,0.3034,0.0,0.2,-0.0,0.0,0.0,0.0058,0.0,0.0,7.5906,0,-15.4793
85,-0.2384,0.3059,0.0,0.2,-0.0,0.0,0.0,0.0064,0.0,0.0,7.6539,0,-15.6119
86,-0.241,0.3018,0.0,0.2,-0.0,0.0,0.0,0.0054,0.0,0.0,7.5503,0,-15.3949
87,-0.2414,0.3013,0.0,0.2,-0.0,0.0,0.0,0.0053,0.0,0.0,7.5376,0,-15.3685
88,-0.1187,0.2471,0.0,0.2,-0.0,0.0,0.0,0.006,0.0,0.0,6.1835,0,-12.6674
89,-0.118,0.2501,0.0,0.2,-0.0,0.0,0.0,0.0066,0.0,0.0,6.259,0,-12.8241
90,-0.1177,0.2514,0.0,0.2,-0.0,0.0,0.0,0.0069,0.0,0.0,6.2913,0,-12.8914
91,-0.1192,0.245,0.0,0.2,-0.0,0.0,0.0,0.0056,0.0,0.0,6.1311,0,-12.5587
92,-0.0905,0.1605,0.0,0.2,-0.0,0.0,0.0,0.0063,0.0,0.0,4.0188,0,-8.3404
93,-0.088,0.1582,0.0,0.2,-0.0,0.0,0.0,0.0056,0.0,0.0,3.9606,0,-8.2176
94,-0.09,0.16,0.0,0.2,-0.0,0.0,0.0,0.0062,0.0,0.0,4.0069,0,-8.3154
95,-0.0906,0.1606,0.0,0.2,-0.0,0.0,0.0,0.0063,0.0,0.0,4.0215,0,-8.3461
